Fund ID,Provider,Fund Name,Strategy,Currency,Projection Rate (%),Rate Type,Rate Period,Minimum Investment,Minimum Top Up,Lock-in (Months),Withdrawal Time,Management Fee,Performance Fee,AUM (KES),Market Share (%),AUM Date,Last Updated,Status,Performance Source,Terms Source
ncba-global-fixed-income-usd,NCBA Unit Trust Scheme,NCBA Global Fixed Income Special (USD) Fund,Global fixed income,USD,5.67,Trailing 12-month return,12 months to May 2026,1000,1000,,Monthly,1.73% YTD TER,,1886455153,0.7,2026-06-30,2026-05-31,Reported Q2 2026,https://ncbagroup.com/wp-content/uploads/sites/8/2026/06/May-2026-NCBA-GFI-Fund-Fact-Sheet.pdf,https://ncbagroup.com/wp-content/uploads/sites/8/2026/06/May-2026-NCBA-GFI-Fund-Fact-Sheet.pdf
ncba-global-equity-usd,NCBA Unit Trust Scheme,NCBA Global Equity Special (USD) Fund,Global equity,USD,28.87,Trailing 12-month return,12 months to May 2026,1000,1000,,Monthly,1.54% YTD TER,,1361352514,0.5,2026-06-30,2026-05-31,Reported Q2 2026,https://ncbagroup.com/wp-content/uploads/sites/8/2026/06/May-2026-NCBA-GEF-Fact-Sheet.pdf,https://ncbagroup.com/wp-content/uploads/sites/8/2026/06/May-2026-NCBA-GEF-Fact-Sheet.pdf
etica-special-wealth,Etica Unit Trust Fund,Etica Special Wealth Fund,Wealth strategy,KES,13.20,Effective annual yield (Class A),Current published rate,1000000,500000,6,,1.80% p.a. (Class A),,1073081907,0.4,2026-06-30,2026-09-23,Reported Q2 2026,https://eticacap.com/etica-special-wealth-fund/,https://eticacap.com/etica-special-wealth-fund/
kcb-wealth-special,KCB Unit Trust Scheme,KCB Wealth Special Fund,Wealth strategy,KES,13.00,Indicative gross annual yield,Current indicative rate,,,,,,,932576816,0.4,2026-06-30,2026-09-23,Reported Q2 2026,https://x.com/KCBInKenya/status/2097565672012423420,https://investment.kcbgroup.com/wealth-special-fund
kuza-momentum,Kuza Unit Trust Scheme,Kuza Momentum Special Fund,Multi-asset,KES,15.97,Trailing 12-month net return,12 months to 31 Aug 2026,100000,50000,6,,2.00% p.a.,20% above 12% benchmark,902953758,0.4,2026-06-30,2026-08-31,Reported Q2 2026,https://kuza.africa/products/kuza-momentum-fund-kes/,https://kuza.africa/products/kuza-momentum-fund-kes/
cytonn-high-yield,Cytonn Unit Trust Fund,Cytonn High Yield Special Fund,High yield,KES,18.10,Annualised return,August 2026,100000,10000,3,Anytime after lock-in,2% p.a.,,882647245,0.3,2026-06-30,2026-08-31,Reported Q2 2026,https://www.cytonn.com/asset-managers/cytonn-high-yield-fund,https://www.cytonn.com/asset-managers/cytonn-high-yield-fund
lofty-corban-private-debt,Lofty Corban Unit Trust Scheme,Lofty Corban Private Debt Special Fund,Private debt,KES,14.21,Annualised net return,Q2 2026,1000000,500000,6,Quarterly interest distribution,2.65% p.a.,,867542801,0.3,2026-06-30,2026-06-30,Reported Q2 2026,https://www.loftycorban.com/,https://www.loftycorban.com/
arvocap-global-equity,Arvocap Unit Trust Funds,Arvocap Global Equity Special Fund,Global equity,USD,37.44,Trailing 12-month return,12 months to May 2026,1000,1000,,,2% p.a.,20% on net returns,797820202,0.3,2026-06-30,2026-05-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/7,https://www.arvocap.com/arvo-funds/7
arvocap-africa-equity,Arvocap Unit Trust Funds,Arvocap Africa Equity Special Fund,Africa equity,ZAR,10.37,Trailing 12-month return,12 months to May 2026,15000,10000,,,2% p.a.,20% on net returns,738160823,0.3,2026-06-30,2026-05-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/6,https://www.arvocap.com/arvo-funds/6
dry-associates-high-yield-kes,Dry Associates Unit Trust,Dry Associates Special High Yield Fund KES,High yield,KES,12.47,Net yield,30 Jun 2026,1000000,250000,6,10 business days; reserve redemption 30 days,3.00% p.a. expense ratio + 0.25% admin,50% above 91-day T-bill + 0.50% hurdle,616136708,0.2,2026-06-30,2026-06-30,Reported Q2 2026,https://www.dryassociates.com/fund-management/unit-trust/special-high-yield-fund/,https://www.dryassociates.com/fund-management/unit-trust/special-high-yield-fund/
mansa-x-shariah-usd,Standard Investment Trust Fund,Mansa-X Shariah Special Fund USD,Shariah multi-asset,USD,10.35,Annualised net return,H1 2026 annualised,1000,1000,6,,5% financial services charge,15% above 15% hurdle,599370333,0.2,2026-06-30,2026-09-22,Reported Q2 2026,https://sib.co.ke/understanding-special-funds-in-kenya/,https://sib.co.ke/najah/mansa-x-shariah/
oak-multi-asset-usd,Faida Unit Trust Funds,Oak Multi Asset Special USD Fund,Multi-asset,USD,10.00,Target net return,Published target (Q2 2026),5000,500,6,,3% p.a. pro-rated daily,,405750130,0.2,2026-06-30,2026-06-30,Reported Q2 2026,https://oak.africa/,https://oak.africa/
sanlamallianz-sterling-fixed-income,Sanlam Unit Trust Scheme,SanlamAllianz Special Fund Sterling Fixed Income Fund,Special fixed income,GBP,3.00,Trailing 12-month net return,12 months to 31 Aug 2026,10000,,,Monthly income distribution,1.5% p.a. (2.1% expense ratio),,296569017,0.1,2026-06-30,2026-08-31,Reported Q2 2026,https://www.sanlam.co.za/investmentseastafrica/unittrusts/Pages/default.aspx,https://www.sanlam.co.za/investmentseastafrica/unittrusts/Pages/default.aspx
kibaba-multi-asset-kes,Kibaba Unit Trust Funds,Kibaba Multi-Asset Special Fund (KES),Multi-asset,KES,20.00,Projected annual return (net of tax and management fee),Current published target,250000,100000,6,"Minimum withdrawal KES 50,000",5% p.a. prorated,10% above 20% hurdle,249751033,0.1,2026-06-30,2026-09-23,Reported Q2 2026,https://ndovu.co/ke/products/kibaba-special-funds,https://ndovu.co/ke/products/kibaba-special-funds
cic-special-wealth,CIC Unit Trust Scheme,CIC Special Wealth Fund,Wealth strategy,KES,9.60,Trailing 12-month gross return,12 months to 30 Jun 2026,5000000,1000000,,,2.00% p.a.,,194087643,0.1,2026-06-30,2026-06-30,Reported Q2 2026,https://ke.cicinsurancegroup.com/wp-content/uploads/2026/07/CIC-Wealth-Fund-June-2026-Factsheet-1.pdf,https://ke.cicinsurancegroup.com/wp-content/uploads/2026/07/CIC-Wealth-Fund-June-2026-Factsheet-1.pdf
cic-global-balanced-special,CIC Unit Trust Scheme,CIC Global Balanced Fund Special Fund,Global balanced,USD,7.58,Since-inception return,Jul 2025-Jan 2026,1000,100,6,Minimum withdrawal USD 10,2.5% p.a.,,192618928,0.1,2026-06-30,2026-01-31,Reported Q2 2026,https://ke.cicinsurancegroup.com/wp-content/uploads/2026/02/CIC-GLOBAL-BALANCED-Fund-January-2026-Factsheet.pdf,https://ke.cicinsurancegroup.com/wp-content/uploads/2026/02/CIC-GLOBAL-BALANCED-Fund-January-2026-Factsheet.pdf
arvocap-eurofix,Arvocap Unit Trust Funds,Arvocap Eurofix Fixed Income Special Fund,Special fixed income,USD,7.61,Last 12 months,As at Aug 2026,1000,1000,6,After 6-month lock-in,1% p.a.,20% above 10% hurdle,185068375,0.1,2026-06-30,2026-08-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/9,https://www.arvocap.com/arvo-funds/9
gcib-multi-asset,GulfCap Unit Trust Funds,GCIB Multi Asset Special Fund,Multi-asset,KES,,,,200000,50000,6 or 12,Upon maturity,,,175891804,0.1,2026-06-30,2026-09-23,Reported Q2 2026,,https://gcib.africa/investment-fund-fact-sheet/
vcg-offshore-multi-asset-usd,VCG Offshore Opportunities Special Fund,VCG Offshore Multi-Asset Special Fund (USD),Offshore multi-asset,USD,,,,,,,,,,131996640,0.1,2026-06-30,2026-09-22,Reported Q2 2026,,https://licensees.cma.or.ke/licenses/15/
aa-kenya-special,African Alliance Kenya Unit Trust Scheme,AA Kenya Special Fund,Special strategy,KES,7.34,Gross quoted yield,As at 17 Sep 2026,1000000,,,,2% p.a.,,126878925,0.1,2026-06-30,2026-09-17,Reported Q2 2026,https://fructa.africa/funds/aa-kenya-special-fund,https://fructa.africa/funds/aa-kenya-special-fund
vcg-offshore-fixed-income-usd,VCG Offshore Opportunities Special Fund,VCG Offshore Fixed Income Special Fund (USD),Offshore fixed income,USD,,,,,,,,,,90601873,0.0,2026-06-30,2026-09-22,Reported Q2 2026,,https://licensees.cma.or.ke/licenses/15/
capital-a-multi-asset-kes,Capital A Investment Bank,Rejesha Special Fund – Capital A Multi Asset Strategy Special Fund (KES),Multi-asset,KES,,,,100000,100000,6,3-5 business days,Up to 6% p.a.,20% above hurdle rate,88138720,0.0,2026-06-30,2026-09-23,Reported Q2 2026,,https://caib.co.ke/special-fund/
etica-special-shariah-kes,Etica Capital Ltd,Etica Special Shariah Fund (KES),Shariah,KES,5.42,"Effective annual profit (net of fees, gross of WHT)",Current published rate,100,100,0,,Up to 2% p.a.,,81199359,0.0,2026-06-30,2026-09-23,Reported Q2 2026,https://eticacap.com/etica-shariah-fund/,https://eticacap.com/etica-shariah-fund/
kibaba-multi-asset-usd,Ndovu Wealth Limited,Kibaba Multi-Asset Special Fund (USD),Multi-asset,USD,18,Projected annual return (net of tax and management fee),Current published target,2500,1000,6,Minimum withdrawal USD 500,5% p.a. prorated,15% above 15% hurdle,75175765,0.0,2026-06-30,2026-09-23,Reported Q2 2026,https://www.ndovu.co/kibaba-special-fund,https://www.ndovu.co/kibaba-special-fund
arvocap-mabruk-sharia,Arvocap Asset Managers,Arvocap Mabruk Sharia Special Fund (KES),Shariah,KES,10.58,"Last 12 months (net of management fee, excluding performance fees)",August 2026,100000,100000,,,2% p.a. prorated,20% of net returns,60611244,0.0,2026-06-30,2026-08-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/13,https://www.arvocap.com/arvo-funds/13
arvocap-global-sharia,Arvocap Asset Managers,Arvocap Sharia Global Equity Special Fund (USD),Global Shariah equity,USD,56.43,"Last 12 months (net of management fee, excluding performance fees)",August 2026,1000,1000,,,2% p.a. prorated,20% of net returns,36910695,0.0,2026-06-30,2026-08-31,Reported Q2 2026,https://www.arvocap.com/arvo-funds/14,https://www.arvocap.com/arvo-funds/14
lofty-corban-global-assets,Lofty-Corban Investments Limited,Lofty-Corban Global Asset Special Fund (KES),Global multi-asset,KES,20,Target net return,Q2 2026 factsheet,100000,50000,6,,5% p.a.,,36400306,0.0,2026-06-30,2026-06-30,Reported Q2 2026,https://loftycorban.com/?page_id=5771,https://loftycorban.com/?page_id=5771
gcib-shariah-multi-asset,GulfCap Investment Bank,GCIB Shariah Multi Asset Special Fund (KES),Shariah multi-asset,KES,6.2,Annualised net return,May 2026,200000,50000,6,At 6- or 12-month maturity,2% p.a.,,29345088,0.0,2026-06-30,2026-05-31,Reported Q2 2026,https://gcib.africa/investment-fund-fact-sheet/,https://gcib.africa/investment-fund-fact-sheet/
etica-special-shariah-usd,Etica Capital Ltd,Etica Special Shariah Fund (USD),Shariah,USD,3.44,"Effective annual profit (net of fees, gross of WHT)",Current published rate,100,50,1,,Up to 2% p.a.,,15090669,0.0,2026-06-30,2026-09-23,Reported Q2 2026,https://eticacap.com/etica-shariah-fund-usd/,https://eticacap.com/etica-shariah-fund-usd/
kuza-shariah-momentum,Kuza Asset Management,Kuza Shariah Momentum Special Fund (KES),Shariah multi-asset,KES,4.68,Expected profit (net of management fees),As at 31 Aug 2026,100000,50000,6,,2% p.a.,,14602015,0.0,2026-06-30,2026-08-31,Reported Q2 2026,https://kuza.africa/products/kuza-shariah-momentum-fund/,https://kuza.africa/products/kuza-shariah-momentum-fund/
vcg-diversified-commodities-usd,VCG Offshore Opportunities Special Fund,VCG Diversified Commodities Special Fund (USD),Commodities,USD,,,,,,,,,,9335396,0.0,2026-06-30,2026-09-22,Reported Q2 2026,,https://licensees.cma.or.ke/licenses/15/
vcg-offshore-money-market-usd,VCG Offshore Opportunities Special Fund,VCG Offshore Money Market Special Fund (USD),Offshore money market,USD,,,,,,,,,,4002390,0.0,2026-06-30,2026-09-22,Reported Q2 2026,,https://licensees.cma.or.ke/licenses/15/
